date,codes
2005-01-04,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600326.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600386.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601975.SH']"
2005-02-23,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600326.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600386.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601975.SH']"
2006-08-01,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600326.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600386.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601975.SH']"
2006-08-18,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600326.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600386.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601111.SH', '601975.SH']"
2006-09-01,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000520.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600676.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601111.SH', '601975.SH']"
2006-10-17,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000520.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600017.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600676.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601111.SH', '601975.SH']"
2006-11-30,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000520.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600017.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600676.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601111.SH', '601872.SH', '601975.SH']"
2006-12-20,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000520.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600017.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600676.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601111.SH', '601333.SH', '601872.SH', '601975.SH']"
2007-04-25,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000520.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600017.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600676.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601008.SH', '601111.SH', '601333.SH', '601872.SH', '601975.SH']"
2007-06-26,"['000022.SZ', '000088.SZ', '000089.SZ', '000099.SZ', '000421.SZ', '000429.SZ', '000520.SZ', '000548.SZ', '000582.SZ', '000753.SZ', '000776.SZ', '000828.SZ', '000886.SZ', '000900.SZ', '000905.SZ', '000916.SZ', '000996.SZ', '001872.SZ', '002040.SZ', '600003.SH', '600004.SH', '600009.SH', '600012.SH', '600017.SH', '600018.SH', '600020.SH', '600026.SH', '600029.SH', '600033.SH', '600035.SH', '600087.SH', '600106.SH', '600115.SH', '600125.SH', '600190.SH', '600221.SH', '600269.SH', '600270.SH', '600279.SH', '600317.SH', '600350.SH', '600368.SH', '600369.SH', '600377.SH', '600428.SH', '600548.SH', '600561.SH', '600575.SH', '600591.SH', '600611.SH', '600650.SH', '600662.SH', '600676.SH', '600692.SH', '600705.SH', '600708.SH', '600717.SH', '600741.SH', '600751.SH', '600787.SH', '600798.SH', '600834.SH', '600896.SH', '600897.SH', '601006.SH', '601008.SH', '601111.SH', '601333.SH', '601872.SH', '601919.SH', '601975.SH']"
