date,codes
2014-02-21,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002400.SZ', '002712.SZ', '300027.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300383.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH']"
2014-07-01,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300383.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH']"
2014-09-10,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300383.SZ', '300392.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH']"
2015-01-15,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH']"
2015-02-16,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH']"
2015-03-09,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '300431.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH', '603729.SH']"
2015-04-08,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '300431.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '600959.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH', '603729.SH']"
2015-05-14,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '300431.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600832.SH', '600880.SH', '600959.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH', '603598.SH', '603729.SH']"
2015-05-20,"['000156.SZ', '000503.SZ', '000504.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000917.SZ', '002095.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '300431.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600661.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600880.SH', '600959.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH', '603598.SH', '603729.SH']"
2015-07-01,"['000156.SZ', '000503.SZ', '000504.SZ', '000607.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000802.SZ', '000835.SZ', '000917.SZ', '002071.SZ', '002095.SZ', '002143.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002624.SZ', '002640.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '300431.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600652.SH', '600661.SH', '600715.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600880.SH', '600959.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH', '603598.SH', '603729.SH']"
2015-08-04,"['000156.SZ', '000504.SZ', '000607.SZ', '000665.SZ', '000673.SZ', '000681.SZ', '000719.SZ', '000793.SZ', '000802.SZ', '000835.SZ', '000917.SZ', '002071.SZ', '002095.SZ', '002143.SZ', '002148.SZ', '002174.SZ', '002181.SZ', '002238.SZ', '002261.SZ', '002292.SZ', '002315.SZ', '002354.SZ', '002400.SZ', '002555.SZ', '002624.SZ', '002640.SZ', '002712.SZ', '002739.SZ', '300027.SZ', '300043.SZ', '300052.SZ', '300058.SZ', '300059.SZ', '300071.SZ', '300104.SZ', '300113.SZ', '300133.SZ', '300148.SZ', '300226.SZ', '300251.SZ', '300288.SZ', '300291.SZ', '300295.SZ', '300315.SZ', '300336.SZ', '300359.SZ', '300364.SZ', '300383.SZ', '300392.SZ', '300418.SZ', '300426.SZ', '300431.SZ', '600037.SH', '600088.SH', '600373.SH', '600386.SH', '600551.SH', '600633.SH', '600637.SH', '600652.SH', '600661.SH', '600715.SH', '600757.SH', '600804.SH', '600825.SH', '600831.SH', '600880.SH', '600959.SH', '601098.SH', '601801.SH', '601928.SH', '601929.SH', '601999.SH', '603000.SH', '603598.SH', '603729.SH']"
