date,codes
2016-04-28,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000416.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000889.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002102.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '300022.SZ', '300413.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601933.SH', '603101.SH', '603123.SH']"
2016-06-23,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '300022.SZ', '300413.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601933.SH', '603101.SH', '603123.SH']"
2016-08-23,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '300022.SZ', '300413.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601933.SH', '603101.SH', '603123.SH', '603977.SH']"
2016-11-07,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601933.SH', '603101.SH', '603123.SH', '603900.SH', '603977.SH']"
2016-12-01,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601933.SH', '603101.SH', '603123.SH', '603708.SH', '603900.SH', '603977.SH']"
2017-02-22,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '300622.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601933.SH', '603101.SH', '603123.SH', '603708.SH', '603900.SH', '603977.SH']"
2017-03-21,"['000058.SZ', '000061.SZ', '000062.SZ', '000151.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000987.SZ', '002024.SZ', '002091.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '300622.SZ', '600058.SH', '600082.SH', '600120.SH', '600122.SH', '600128.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600327.SH', '600361.SH', '600415.SH', '600515.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600704.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601366.SH', '601933.SH', '603101.SH', '603123.SH', '603708.SH', '603900.SH', '603977.SH']"
2017-06-29,"['000058.SZ', '000061.SZ', '000151.SZ', '000155.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000906.SZ', '002024.SZ', '002091.SZ', '002094.SZ', '002127.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002640.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '300622.SZ', '600058.SH', '600120.SH', '600122.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600361.SH', '600415.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601116.SH', '601366.SH', '601933.SH', '603101.SH', '603123.SH', '603708.SH', '603900.SH', '603977.SH']"
2017-09-11,"['000058.SZ', '000061.SZ', '000151.SZ', '000155.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000906.SZ', '002024.SZ', '002091.SZ', '002094.SZ', '002127.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002640.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '300622.SZ', '600058.SH', '600120.SH', '600122.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600361.SH', '600415.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601086.SH', '601116.SH', '601366.SH', '601933.SH', '603101.SH', '603123.SH', '603708.SH', '603900.SH', '603977.SH']"
2018-01-08,"['000058.SZ', '000061.SZ', '000151.SZ', '000155.SZ', '000408.SZ', '000417.SZ', '000419.SZ', '000501.SZ', '000516.SZ', '000560.SZ', '000564.SZ', '000626.SZ', '000679.SZ', '000715.SZ', '000759.SZ', '000785.SZ', '000829.SZ', '000861.SZ', '000882.SZ', '000906.SZ', '002024.SZ', '002091.SZ', '002094.SZ', '002127.SZ', '002187.SZ', '002251.SZ', '002264.SZ', '002277.SZ', '002336.SZ', '002344.SZ', '002416.SZ', '002419.SZ', '002561.SZ', '002640.SZ', '002697.SZ', '002818.SZ', '300022.SZ', '300413.SZ', '300622.SZ', '600058.SH', '600120.SH', '600122.SH', '600241.SH', '600247.SH', '600250.SH', '600278.SH', '600280.SH', '600287.SH', '600306.SH', '600361.SH', '600415.SH', '600605.SH', '600628.SH', '600655.SH', '600682.SH', '600693.SH', '600694.SH', '600697.SH', '600712.SH', '600723.SH', '600729.SH', '600735.SH', '600738.SH', '600739.SH', '600755.SH', '600774.SH', '600778.SH', '600785.SH', '600790.SH', '600814.SH', '600821.SH', '600822.SH', '600824.SH', '600826.SH', '600827.SH', '600828.SH', '600838.SH', '600857.SH', '600858.SH', '600859.SH', '600861.SH', '600865.SH', '600891.SH', '600898.SH', '600981.SH', '601010.SH', '601086.SH', '601116.SH', '601366.SH', '601828.SH', '601933.SH', '603101.SH', '603123.SH', '603708.SH', '603900.SH', '603977.SH']"
