date,codes
2016-04-28,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-01-19,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-02-14,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-02-28,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-03-21,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-04-11,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603320.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-04-19,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-05-11,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '300660.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-05-22,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002413.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002670.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-06-29,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-09-21,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2017-12-27,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2018-01-23,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603150.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2018-08-09,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603150.SH', '603355.SH', '603366.SH', '603519.SH', '603578.SH', '603579.SH', '603657.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2018-09-05,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603150.SH', '603355.SH', '603366.SH', '603486.SH', '603519.SH', '603578.SH', '603579.SH', '603657.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2018-12-05,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603150.SH', '603355.SH', '603366.SH', '603486.SH', '603519.SH', '603551.SH', '603578.SH', '603579.SH', '603657.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
2019-01-09,"['000016.SZ', '000100.SZ', '000333.SZ', '000404.SZ', '000418.SZ', '000521.SZ', '000533.SZ', '000651.SZ', '000801.SZ', '000810.SZ', '000921.SZ', '002011.SZ', '002032.SZ', '002035.SZ', '002050.SZ', '002052.SZ', '002242.SZ', '002260.SZ', '002290.SZ', '002403.SZ', '002418.SZ', '002420.SZ', '002429.SZ', '002473.SZ', '002508.SZ', '002519.SZ', '002543.SZ', '002614.SZ', '002616.SZ', '002668.SZ', '002676.SZ', '002677.SZ', '002681.SZ', '002705.SZ', '002723.SZ', '002759.SZ', '002848.SZ', '002860.SZ', '300160.SZ', '300217.SZ', '300247.SZ', '300249.SZ', '300272.SZ', '300342.SZ', '300403.SZ', '300475.SZ', '600060.SH', '600336.SH', '600619.SH', '600690.SH', '600839.SH', '600854.SH', '600870.SH', '600983.SH', '603150.SH', '603355.SH', '603366.SH', '603519.SH', '603551.SH', '603578.SH', '603579.SH', '603657.SH', '603677.SH', '603726.SH', '603868.SH', '603996.SH']"
