date,codes
2014-02-21,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH']"
2014-07-01,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '600145.SH', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH']"
2014-09-10,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '300395.SZ', '600145.SH', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH']"
2014-11-24,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '600145.SH', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH']"
2015-02-16,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '002742.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '600145.SH', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH']"
2015-03-09,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '002742.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '300374.SZ', '600145.SH', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH']"
2015-06-15,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002624.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '002742.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '300374.SZ', '600145.SH', '600217.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH', '603616.SH']"
2015-07-01,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000546.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '002742.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '300374.SZ', '600145.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH', '603616.SH']"
2015-10-08,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000546.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '002742.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '300374.SZ', '600145.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600562.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600753.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH', '603616.SH']"
2015-11-02,"['000012.SZ', '000023.SZ', '000401.SZ', '000509.SZ', '000546.SZ', '000619.SZ', '000672.SZ', '000786.SZ', '000789.SZ', '000877.SZ', '000885.SZ', '000935.SZ', '002043.SZ', '002066.SZ', '002082.SZ', '002088.SZ', '002162.SZ', '002163.SZ', '002205.SZ', '002225.SZ', '002233.SZ', '002271.SZ', '002302.SZ', '002314.SZ', '002333.SZ', '002346.SZ', '002372.SZ', '002392.SZ', '002398.SZ', '002457.SZ', '002468.SZ', '002596.SZ', '002619.SZ', '002623.SZ', '002641.SZ', '002652.SZ', '002671.SZ', '002694.SZ', '002718.SZ', '002742.SZ', '300093.SZ', '300117.SZ', '300198.SZ', '300234.SZ', '300344.SZ', '300374.SZ', '600145.SH', '600293.SH', '600318.SH', '600321.SH', '600425.SH', '600449.SH', '600539.SH', '600552.SH', '600585.SH', '600586.SH', '600629.SH', '600668.SH', '600678.SH', '600720.SH', '600753.SH', '600801.SH', '600802.SH', '600819.SH', '600876.SH', '600881.SH', '601636.SH', '601992.SH', '603616.SH']"
