date,codes
2014-02-21,"['000055.SZ', '000065.SZ', '000498.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600455.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH']"
2014-07-01,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH']"
2014-09-26,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603018.SH']"
2014-11-25,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603018.SH']"
2014-12-19,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603017.SH', '603018.SH']"
2015-01-15,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603017.SH', '603018.SH', '603698.SH']"
2015-02-16,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '002743.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603017.SH', '603018.SH', '603698.SH', '603828.SH']"
2015-03-09,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '002743.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603017.SH', '603018.SH', '603030.SH', '603698.SH', '603828.SH']"
2015-04-27,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '002743.SZ', '002755.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603017.SH', '603018.SH', '603030.SH', '603698.SH', '603828.SH']"
2015-06-18,"['000055.SZ', '000065.SZ', '000498.SZ', '002047.SZ', '002051.SZ', '002060.SZ', '002062.SZ', '002081.SZ', '002116.SZ', '002135.SZ', '002140.SZ', '002178.SZ', '002200.SZ', '002307.SZ', '002310.SZ', '002325.SZ', '002375.SZ', '002431.SZ', '002469.SZ', '002482.SZ', '002524.SZ', '002541.SZ', '002542.SZ', '002586.SZ', '002620.SZ', '002628.SZ', '002659.SZ', '002663.SZ', '002713.SZ', '002717.SZ', '002743.SZ', '002755.SZ', '002775.SZ', '300197.SZ', '300284.SZ', '300355.SZ', '600039.SH', '600068.SH', '600170.SH', '600209.SH', '600248.SH', '600284.SH', '600326.SH', '600477.SH', '600491.SH', '600496.SH', '600502.SH', '600512.SH', '600528.SH', '600545.SH', '600681.SH', '600820.SH', '600853.SH', '600970.SH', '600986.SH', '601117.SH', '601186.SH', '601226.SH', '601390.SH', '601618.SH', '601668.SH', '601669.SH', '601789.SH', '601800.SH', '601886.SH', '603017.SH', '603018.SH', '603030.SH', '603698.SH', '603828.SH']"
