date,codes
2005-01-04,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '600092.SH', '600110.SH', '600111.SH', '600205.SH', '600255.SH', '600296.SH', '600330.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2005-04-06,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '600092.SH', '600110.SH', '600111.SH', '600205.SH', '600255.SH', '600296.SH', '600330.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2005-07-01,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '600092.SH', '600110.SH', '600111.SH', '600205.SH', '600219.SH', '600255.SH', '600296.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2005-09-01,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '600092.SH', '600110.SH', '600111.SH', '600205.SH', '600219.SH', '600255.SH', '600296.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2006-10-25,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '002075.SZ', '600092.SH', '600110.SH', '600111.SH', '600205.SH', '600219.SH', '600255.SH', '600296.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2006-11-30,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '002075.SZ', '600110.SH', '600111.SH', '600205.SH', '600219.SH', '600255.SH', '600296.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2007-02-14,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '002075.SZ', '002114.SZ', '600110.SH', '600111.SH', '600205.SH', '600219.SH', '600255.SH', '600296.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH']"
2007-04-30,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '002075.SZ', '002114.SZ', '600110.SH', '600111.SH', '600219.SH', '600255.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH', '601600.SH']"
2007-05-28,"['000060.SZ', '000506.SZ', '000612.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '002075.SZ', '002114.SZ', '002136.SZ', '600110.SH', '600111.SH', '600219.SH', '600255.SH', '600330.SH', '600331.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600743.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH', '601600.SH']"
2007-07-02,"['000060.SZ', '000506.SZ', '000602.SZ', '000612.SZ', '000620.SZ', '000630.SZ', '000657.SZ', '000751.SZ', '000758.SZ', '000795.SZ', '000807.SZ', '000831.SZ', '000878.SZ', '000908.SZ', '000928.SZ', '000960.SZ', '000962.SZ', '000969.SZ', '000970.SZ', '002056.SZ', '002057.SZ', '002075.SZ', '002114.SZ', '002136.SZ', '600110.SH', '600111.SH', '600139.SH', '600219.SH', '600255.SH', '600330.SH', '600331.SH', '600338.SH', '600362.SH', '600366.SH', '600390.SH', '600432.SH', '600456.SH', '600458.SH', '600459.SH', '600472.SH', '600478.SH', '600489.SH', '600497.SH', '600516.SH', '600525.SH', '600531.SH', '600547.SH', '600549.SH', '600595.SH', '600768.SH', '600888.SH', '600961.SH', '600980.SH', '601600.SH']"
