date,codes
2021-12-13,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301127.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-03-25,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-04-01,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-04-08,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-06-17,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301175.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-07-01,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '001230.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301175.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-07-08,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000920.SZ', '000967.SZ', '001230.SZ', '001336.SZ', '002034.SZ', '002205.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300140.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301175.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-07-29,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000890.SZ', '000967.SZ', '001230.SZ', '001336.SZ', '002034.SZ', '002210.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002778.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301175.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600796.SH', '600817.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603315.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-08-05,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000890.SZ', '000967.SZ', '001230.SZ', '001336.SZ', '002034.SZ', '002210.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002778.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301175.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600796.SH', '600817.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603315.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688370.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
2022-11-04,"['000005.SZ', '000035.SZ', '000068.SZ', '000544.SZ', '000551.SZ', '000598.SZ', '000605.SZ', '000685.SZ', '000711.SZ', '000820.SZ', '000826.SZ', '000890.SZ', '000967.SZ', '001230.SZ', '001336.SZ', '002034.SZ', '002210.SZ', '002266.SZ', '002573.SZ', '002645.SZ', '002658.SZ', '002672.SZ', '002778.SZ', '002887.SZ', '002973.SZ', '003027.SZ', '003039.SZ', '300055.SZ', '300056.SZ', '300070.SZ', '300072.SZ', '300137.SZ', '300152.SZ', '300172.SZ', '300187.SZ', '300190.SZ', '300203.SZ', '300210.SZ', '300262.SZ', '300266.SZ', '300334.SZ', '300385.SZ', '300388.SZ', '300422.SZ', '300425.SZ', '300437.SZ', '300614.SZ', '300631.SZ', '300664.SZ', '300692.SZ', '300774.SZ', '300779.SZ', '300786.SZ', '300800.SZ', '300815.SZ', '300854.SZ', '300864.SZ', '300867.SZ', '300899.SZ', '300929.SZ', '300958.SZ', '300961.SZ', '301030.SZ', '301049.SZ', '301068.SZ', '301081.SZ', '301109.SZ', '301127.SZ', '301148.SZ', '301175.SZ', '301259.SZ', '301288.SZ', '600008.SH', '600168.SH', '600187.SH', '600217.SH', '600283.SH', '600292.SH', '600323.SH', '600388.SH', '600461.SH', '600526.SH', '600769.SH', '600796.SH', '600817.SH', '600874.SH', '601158.SH', '601199.SH', '601200.SH', '601330.SH', '601368.SH', '601827.SH', '603126.SH', '603177.SH', '603200.SH', '603279.SH', '603315.SH', '603324.SH', '603568.SH', '603588.SH', '603603.SH', '603686.SH', '603759.SH', '603797.SH', '603817.SH', '603903.SH', '605069.SH', '605081.SH', '688057.SH', '688069.SH', '688096.SH', '688101.SH', '688156.SH', '688178.SH', '688309.SH', '688335.SH', '688370.SH', '688376.SH', '688466.SH', '688501.SH', '688565.SH', '688600.SH', '688679.SH', '688701.SH']"
