date,codes
2005-01-04,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000600.SZ', '000610.SZ', '000613.SZ', '000691.SZ', '000711.SZ', '000721.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '600054.SH', '600137.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH']"
2006-08-10,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000600.SZ', '000610.SZ', '000613.SZ', '000691.SZ', '000711.SZ', '000721.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '600054.SH', '600137.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH']"
2006-09-07,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000691.SZ', '000711.SZ', '000721.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '600054.SH', '600137.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH']"
2006-12-07,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000691.SZ', '000711.SZ', '000721.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002091.SZ', '600054.SH', '600137.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH']"
2007-04-05,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000691.SZ', '000711.SZ', '000721.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002091.SZ', '600054.SH', '600137.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH', '601007.SH']"
2007-07-02,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600555.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH', '601007.SH']"
2007-08-16,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600555.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH', '601007.SH']"
2007-11-19,"['000033.SZ', '000069.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600555.SH', '600576.SH', '600593.SH', '600749.SH', '600754.SH', '601007.SH']"
2008-06-02,"['000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600555.SH', '600576.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH']"
2009-06-01,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600576.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH']"
2009-09-17,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600576.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2009-10-09,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2009-10-27,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2010-06-01,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2010-11-29,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '300144.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2011-02-21,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '300144.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600593.SH', '600721.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2011-10-10,"['000007.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000975.SZ', '000978.SZ', '002033.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '300144.SZ', '600054.SH', '600138.SH', '600209.SH', '600258.SH', '600358.SH', '600555.SH', '600593.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2012-10-08,"['000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '300144.SZ', '300178.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600593.SH', '600640.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2013-07-01,"['000008.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '300144.SZ', '300178.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600593.SH', '600640.SH', '600706.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2014-01-08,"['000008.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '002707.SZ', '300144.SZ', '300178.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600593.SH', '600640.SH', '600706.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2014-07-01,"['000007.SZ', '000008.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '002707.SZ', '300144.SZ', '300178.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600593.SH', '600640.SH', '600706.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH']"
2014-07-31,"['000007.SZ', '000008.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '002707.SZ', '300144.SZ', '300178.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600593.SH', '600640.SH', '600706.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH', '603099.SH']"
2015-03-09,"['000007.SZ', '000008.SZ', '000033.SZ', '000428.SZ', '000430.SZ', '000524.SZ', '000610.SZ', '000613.SZ', '000721.SZ', '000802.SZ', '000888.SZ', '000978.SZ', '002033.SZ', '002059.SZ', '002159.SZ', '002186.SZ', '002306.SZ', '002558.SZ', '002707.SZ', '300144.SZ', '300178.SZ', '600054.SH', '600138.SH', '600258.SH', '600358.SH', '600593.SH', '600640.SH', '600706.SH', '600749.SH', '600754.SH', '601007.SH', '601888.SH', '603099.SH', '603199.SH', '603869.SH']"
