date,codes
2005-01-04,"['000018.SZ', '000036.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000809.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '600070.SH', '600086.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600219.SH', '600220.SH', '600232.SH', '600233.SH', '600240.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600381.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600743.SH', '600745.SH', '600757.SH', '600781.SH', '600851.SH', '600884.SH', '600987.SH']"
2005-03-30,"['000018.SZ', '000036.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000809.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '600070.SH', '600086.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600219.SH', '600220.SH', '600232.SH', '600233.SH', '600240.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600381.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600743.SH', '600745.SH', '600757.SH', '600781.SH', '600851.SH', '600884.SH', '600987.SH']"
2005-04-11,"['000018.SZ', '000036.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000809.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '600070.SH', '600086.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600219.SH', '600220.SH', '600232.SH', '600233.SH', '600240.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600381.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600743.SH', '600745.SH', '600757.SH', '600781.SH', '600851.SH', '600884.SH', '600987.SH']"
2005-07-01,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '600070.SH', '600086.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600240.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600781.SH', '600851.SH', '600884.SH', '600987.SH']"
2006-09-01,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '600070.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600851.SH', '600884.SH', '600987.SH']"
2006-09-19,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '002070.SZ', '002072.SZ', '600070.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600851.SH', '600884.SH', '600987.SH']"
2006-11-21,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '002070.SZ', '002072.SZ', '002083.SZ', '600070.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600851.SH', '600884.SH', '600987.SH']"
2006-11-29,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '002070.SZ', '002072.SZ', '002083.SZ', '002087.SZ', '600070.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600851.SH', '600884.SH', '600987.SH']"
2006-12-20,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '002070.SZ', '002072.SZ', '002083.SZ', '002087.SZ', '002098.SZ', '600070.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600851.SH', '600884.SH', '600987.SH']"
2007-04-18,"['000018.SZ', '000045.SZ', '000158.SZ', '000301.SZ', '000518.SZ', '000529.SZ', '000681.SZ', '000712.SZ', '000726.SZ', '000779.SZ', '000810.SZ', '000813.SZ', '000850.SZ', '000902.SZ', '000955.SZ', '000971.SZ', '000982.SZ', '002003.SZ', '002029.SZ', '002034.SZ', '002036.SZ', '002042.SZ', '002044.SZ', '002070.SZ', '002072.SZ', '002083.SZ', '002087.SZ', '002098.SZ', '002127.SZ', '600070.SH', '600107.SH', '600152.SH', '600156.SH', '600177.SH', '600220.SH', '600232.SH', '600233.SH', '600272.SH', '600273.SH', '600295.SH', '600370.SH', '600398.SH', '600400.SH', '600448.SH', '600483.SH', '600493.SH', '600510.SH', '600555.SH', '600626.SH', '600630.SH', '600689.SH', '600745.SH', '600757.SH', '600851.SH', '600884.SH', '600987.SH']"
