date,codes
2016-04-28,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002502.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600086.SH', '600103.SH', '600135.SH', '600163.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600462.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-05-09,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002502.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600086.SH', '600103.SH', '600135.SH', '600163.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600462.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-05-25,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002502.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600086.SH', '600103.SH', '600135.SH', '600163.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600462.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-05-30,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002502.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600163.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600462.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-06-23,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002102.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600462.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-06-24,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002102.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '002803.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-09-07,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002102.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '002803.SZ', '002812.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603398.SH', '603600.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-10-12,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002102.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '002803.SZ', '002812.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603313.SH', '603398.SH', '603600.SH', '603816.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-12-01,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002102.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '002803.SZ', '002812.SZ', '002825.SZ', '002831.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603268.SH', '603313.SH', '603389.SH', '603398.SH', '603600.SH', '603816.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
2016-12-12,"['000026.SZ', '000488.SZ', '000576.SZ', '000587.SZ', '000659.SZ', '000663.SZ', '000812.SZ', '000815.SZ', '000820.SZ', '000833.SZ', '000910.SZ', '002012.SZ', '002014.SZ', '002067.SZ', '002078.SZ', '002084.SZ', '002094.SZ', '002102.SZ', '002103.SZ', '002117.SZ', '002120.SZ', '002191.SZ', '002228.SZ', '002229.SZ', '002235.SZ', '002240.SZ', '002243.SZ', '002247.SZ', '002259.SZ', '002301.SZ', '002303.SZ', '002345.SZ', '002348.SZ', '002374.SZ', '002489.SZ', '002511.SZ', '002521.SZ', '002522.SZ', '002565.SZ', '002571.SZ', '002572.SZ', '002574.SZ', '002575.SZ', '002585.SZ', '002599.SZ', '002605.SZ', '002615.SZ', '002631.SZ', '002678.SZ', '002701.SZ', '002721.SZ', '002731.SZ', '002735.SZ', '002740.SZ', '002751.SZ', '002752.SZ', '002787.SZ', '002790.SZ', '002798.SZ', '002799.SZ', '002803.SZ', '002812.SZ', '002825.SZ', '002831.SZ', '300057.SZ', '300061.SZ', '300089.SZ', '300329.SZ', '300501.SZ', '600069.SH', '600076.SH', '600086.SH', '600103.SH', '600135.SH', '600210.SH', '600235.SH', '600308.SH', '600337.SH', '600356.SH', '600433.SH', '600439.SH', '600567.SH', '600599.SH', '600612.SH', '600793.SH', '600836.SH', '600963.SH', '600966.SH', '600978.SH', '601515.SH', '601968.SH', '601996.SH', '603008.SH', '603021.SH', '603022.SH', '603058.SH', '603268.SH', '603313.SH', '603389.SH', '603398.SH', '603600.SH', '603816.SH', '603818.SH', '603838.SH', '603898.SH', '603899.SH']"
