date,codes
2014-02-21,"['000032.SZ', '000034.SZ', '000035.SZ', '000063.SZ', '000070.SZ', '000555.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300136.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300322.SZ', '300353.SZ', '600050.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH']"
2014-07-01,"['000032.SZ', '000034.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH']"
2015-02-16,"['000032.SZ', '000034.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH']"
2015-04-08,"['000032.SZ', '000034.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
2015-05-25,"['000032.SZ', '000034.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '300467.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
2015-07-01,"['000032.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '300467.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
2015-11-03,"['000032.SZ', '000034.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '000971.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '300467.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
2015-11-06,"['000032.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '000971.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '300467.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
2016-04-18,"['000032.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '000971.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '002792.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '300467.SZ', '600050.SH', '600076.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
2016-05-30,"['000032.SZ', '000063.SZ', '000070.SZ', '000547.SZ', '000561.SZ', '000586.SZ', '000836.SZ', '000851.SZ', '000971.SZ', '002017.SZ', '002089.SZ', '002093.SZ', '002104.SZ', '002115.SZ', '002194.SZ', '002231.SZ', '002281.SZ', '002313.SZ', '002316.SZ', '002396.SZ', '002417.SZ', '002446.SZ', '002465.SZ', '002467.SZ', '002491.SZ', '002544.SZ', '002583.SZ', '002792.SZ', '300017.SZ', '300025.SZ', '300028.SZ', '300038.SZ', '300050.SZ', '300081.SZ', '300098.SZ', '300134.SZ', '300205.SZ', '300211.SZ', '300213.SZ', '300250.SZ', '300252.SZ', '300292.SZ', '300299.SZ', '300310.SZ', '300312.SZ', '300353.SZ', '300467.SZ', '600050.SH', '600105.SH', '600130.SH', '600198.SH', '600289.SH', '600345.SH', '600355.SH', '600485.SH', '600487.SH', '600498.SH', '600522.SH', '600775.SH', '600776.SH', '603118.SH', '603703.SH']"
