date,codes
2005-01-04,"['000039.SZ', '000055.SZ', '000535.SZ', '000569.SZ', '000629.SZ', '000656.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600114.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600674.SH', '600714.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH']"
2005-07-01,"['000039.SZ', '000055.SZ', '000535.SZ', '000569.SZ', '000629.SZ', '000656.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600114.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600714.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH']"
2005-09-21,"['000039.SZ', '000055.SZ', '000569.SZ', '000629.SZ', '000656.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600114.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600714.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH']"
2007-01-25,"['000039.SZ', '000055.SZ', '000569.SZ', '000629.SZ', '000656.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '002110.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600114.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600714.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH']"
2007-02-27,"['000039.SZ', '000055.SZ', '000569.SZ', '000629.SZ', '000656.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '002110.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600114.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600714.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH', '601003.SH', '601005.SH']"
2007-04-27,"['000039.SZ', '000055.SZ', '000569.SZ', '000629.SZ', '000656.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '002110.SZ', '002132.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600114.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600714.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH', '601003.SH', '601005.SH']"
2007-07-02,"['000039.SZ', '000569.SZ', '000629.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000890.SZ', '000898.SZ', '000926.SZ', '000932.SZ', '000959.SZ', '000961.SZ', '002110.SZ', '002132.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600117.SH', '600126.SH', '600165.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600507.SH', '600558.SH', '600569.SH', '600581.SH', '600673.SH', '600782.SH', '600808.SH', '600894.SH', '600992.SH', '601003.SH', '601005.SH']"
2008-06-02,"['000569.SZ', '000629.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000825.SZ', '000898.SZ', '000932.SZ', '000959.SZ', '002110.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600117.SH', '600126.SH', '600231.SH', '600282.SH', '600307.SH', '600357.SH', '600399.SH', '600507.SH', '600569.SH', '600581.SH', '600808.SH', '600894.SH', '601003.SH', '601005.SH']"
2008-10-07,"['000569.SZ', '000629.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000825.SZ', '000898.SZ', '000932.SZ', '000959.SZ', '002110.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600117.SH', '600126.SH', '600231.SH', '600282.SH', '600295.SH', '600307.SH', '600357.SH', '600399.SH', '600507.SH', '600569.SH', '600581.SH', '600808.SH', '600894.SH', '601003.SH', '601005.SH']"
2009-05-06,"['000629.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000825.SZ', '000898.SZ', '000932.SZ', '000959.SZ', '002110.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600117.SH', '600126.SH', '600231.SH', '600282.SH', '600295.SH', '600307.SH', '600357.SH', '600399.SH', '600507.SH', '600569.SH', '600581.SH', '600808.SH', '600894.SH', '601003.SH', '601005.SH']"
2009-06-01,"['000629.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000898.SZ', '000932.SZ', '000959.SZ', '002110.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600117.SH', '600126.SH', '600231.SH', '600282.SH', '600295.SH', '600307.SH', '600357.SH', '600399.SH', '600507.SH', '600516.SH', '600569.SH', '600581.SH', '600782.SH', '600808.SH', '600894.SH', '601003.SH', '601005.SH']"
2009-11-23,"['000629.SZ', '000708.SZ', '000709.SZ', '000717.SZ', '000761.SZ', '000778.SZ', '000825.SZ', '000898.SZ', '000932.SZ', '000959.SZ', '002110.SZ', '002318.SZ', '600001.SH', '600005.SH', '600010.SH', '600019.SH', '600022.SH', '600102.SH', '600117.SH', '600126.SH', '600231.SH', '600282.SH', '600295.SH', '600307.SH', '600357.SH', '600399.SH', '600507.SH', '600516.SH', '600569.SH', '600581.SH', '600782.SH', '600808.SH', '600894.SH', '601003.SH', '601005.SH']"
