date,codes
2016-04-28,"['000001.SZ', '002142.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '601009.SH', '601166.SH', '601169.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601998.SH']"
2016-06-23,"['000001.SZ', '002142.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600919.SH', '601009.SH', '601166.SH', '601169.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601998.SH']"
2016-08-04,"['000001.SZ', '002142.SZ', '002807.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600919.SH', '601009.SH', '601166.SH', '601169.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH']"
2016-08-23,"['000001.SZ', '002142.SZ', '002807.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH']"
2016-10-12,"['000001.SZ', '002142.SZ', '002807.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH']"
2016-10-28,"['000001.SZ', '002142.SZ', '002807.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2016-12-19,"['000001.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2017-12-19,"['000001.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601818.SH', '601838.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-01-16,"['000001.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601818.SH', '601838.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-04-04,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601818.SH', '601838.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-08-14,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-08-30,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '002936.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-10-09,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '002936.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601187.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-11-19,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '002936.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601187.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601860.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2018-12-05,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '002936.SZ', '002948.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601187.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601860.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2019-01-15,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '002936.SZ', '002948.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '600928.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601187.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601860.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
2019-02-12,"['000001.SZ', '001227.SZ', '002142.SZ', '002807.SZ', '002839.SZ', '002936.SZ', '002948.SZ', '002958.SZ', '600000.SH', '600015.SH', '600016.SH', '600036.SH', '600908.SH', '600919.SH', '600926.SH', '600928.SH', '601009.SH', '601128.SH', '601166.SH', '601169.SH', '601187.SH', '601229.SH', '601288.SH', '601328.SH', '601398.SH', '601528.SH', '601577.SH', '601818.SH', '601838.SH', '601860.SH', '601939.SH', '601988.SH', '601997.SH', '601998.SH', '603323.SH']"
