date,codes
2014-02-21,"['000415.SZ', '000562.SZ', '000563.SZ', '000623.SZ', '000666.SZ', '000686.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600635.SH', '600643.SH', '600705.SH', '600739.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2014-07-01,"['000415.SZ', '000562.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600635.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2014-12-16,"['000415.SZ', '000562.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600635.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2014-12-19,"['000415.SZ', '000562.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600635.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2015-01-19,"['000166.SZ', '000415.SZ', '000562.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2015-01-26,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2015-02-16,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600999.SH', '601099.SH', '601198.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2015-03-09,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH']"
2015-05-14,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2015-06-18,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000996.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2015-07-01,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2015-10-26,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '300023.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2016-04-26,"['000166.SZ', '000415.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2016-06-23,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2016-12-01,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2016-12-12,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601901.SH', '603300.SH']"
2016-12-28,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601881.SH', '601901.SH', '603300.SH']"
2017-05-16,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '002500.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600109.SH', '600291.SH', '600369.SH', '600643.SH', '600705.SH', '600747.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601878.SH', '601881.SH', '601901.SH', '603300.SH']"
2017-06-29,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000627.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000987.SZ', '002500.SZ', '002670.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600093.SH', '600109.SH', '600155.SH', '600291.SH', '600318.SH', '600369.SH', '600390.SH', '600643.SH', '600705.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600864.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601878.SH', '601881.SH', '601901.SH', '603300.SH']"
2017-09-26,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000627.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000987.SZ', '002500.SZ', '002670.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '300023.SZ', '600030.SH', '600061.SH', '600093.SH', '600109.SH', '600155.SH', '600291.SH', '600318.SH', '600369.SH', '600390.SH', '600643.SH', '600705.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600864.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601108.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601878.SH', '601881.SH', '601901.SH', '603300.SH']"
2018-01-16,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000627.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000987.SZ', '002500.SZ', '002670.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '002926.SZ', '300023.SZ', '600030.SH', '600061.SH', '600093.SH', '600109.SH', '600155.SH', '600291.SH', '600318.SH', '600369.SH', '600390.SH', '600643.SH', '600705.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600864.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601108.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601878.SH', '601881.SH', '601901.SH', '603300.SH']"
2018-01-19,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000627.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000987.SZ', '002500.SZ', '002670.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '002926.SZ', '300023.SZ', '600030.SH', '600061.SH', '600093.SH', '600109.SH', '600155.SH', '600291.SH', '600318.SH', '600369.SH', '600390.SH', '600643.SH', '600705.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600864.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601108.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601456.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601878.SH', '601881.SH', '601901.SH', '603300.SH']"
2018-01-30,"['000166.SZ', '000415.SZ', '000416.SZ', '000563.SZ', '000627.SZ', '000666.SZ', '000686.SZ', '000712.SZ', '000728.SZ', '000750.SZ', '000776.SZ', '000783.SZ', '000987.SZ', '002500.SZ', '002670.SZ', '002673.SZ', '002736.SZ', '002797.SZ', '002926.SZ', '300023.SZ', '600030.SH', '600061.SH', '600093.SH', '600109.SH', '600155.SH', '600291.SH', '600318.SH', '600369.SH', '600390.SH', '600643.SH', '600705.SH', '600783.SH', '600816.SH', '600830.SH', '600837.SH', '600864.SH', '600901.SH', '600909.SH', '600958.SH', '600999.SH', '601099.SH', '601108.SH', '601198.SH', '601211.SH', '601318.SH', '601336.SH', '601375.SH', '601377.SH', '601456.SH', '601555.SH', '601601.SH', '601628.SH', '601688.SH', '601788.SH', '601878.SH', '601881.SH', '601901.SH', '603300.SH']"
