date,codes
2005-01-04,"['000019.SZ', '000567.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000885.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '600059.SH', '600073.SH', '600090.SH', '600132.SH', '600136.SH', '600159.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600239.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600573.SH', '600597.SH', '600600.SH', '600702.SH', '600735.SH', '600737.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2005-07-01,"['000019.SZ', '000567.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000885.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '600059.SH', '600073.SH', '600090.SH', '600132.SH', '600136.SH', '600159.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600239.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600735.SH', '600737.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2006-09-01,"['000019.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000885.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '600059.SH', '600073.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600239.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600735.SH', '600737.SH', '600779.SH', '600783.SH', '600809.SH', '600887.SH', '600962.SH']"
2007-07-02,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600735.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2008-02-19,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '002216.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600735.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2009-06-01,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '002216.SZ', '002220.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600559.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2009-08-12,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '002216.SZ', '002220.SZ', '002286.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600559.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2009-10-22,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '002216.SZ', '002220.SZ', '002286.SZ', '002304.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600559.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2009-12-16,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '002216.SZ', '002220.SZ', '002286.SZ', '002304.SZ', '002329.SZ', '002330.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600559.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
2010-03-23,"['000019.SZ', '000557.SZ', '000568.SZ', '000576.SZ', '000596.SZ', '000716.SZ', '000729.SZ', '000752.SZ', '000799.SZ', '000833.SZ', '000848.SZ', '000858.SZ', '000869.SZ', '000895.SZ', '000911.SZ', '000929.SZ', '000995.SZ', '002216.SZ', '002220.SZ', '002286.SZ', '002304.SZ', '002329.SZ', '002330.SZ', '002387.SZ', '600059.SH', '600073.SH', '600084.SH', '600090.SH', '600132.SH', '600186.SH', '600191.SH', '600197.SH', '600199.SH', '600238.SH', '600298.SH', '600300.SH', '600305.SH', '600365.SH', '600429.SH', '600519.SH', '600543.SH', '600559.SH', '600573.SH', '600597.SH', '600600.SH', '600616.SH', '600702.SH', '600779.SH', '600809.SH', '600887.SH', '600962.SH']"
