日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-04-29,09:30:00,股票,威唐工业(300707.XSHE),买,市价单,12200股,16.38,199836,12200股,-,0,59.95,全部成交,2020-04-29 09:30:00
2020-04-30,11:28:00,股票,威唐工业(300707.XSHE),卖,市价单,-12200股,17.49,-213378,-12200股,-,13542,277.39,全部成交,2020-04-30 11:28:00
2020-05-06,09:30:00,股票,梦百合(603313.XSHG),买,市价单,9700股,21.91,212527,9700股,-,0,63.76,全部成交,2020-05-06 09:30:00
2020-05-07,11:28:00,股票,梦百合(603313.XSHG),卖,市价单,-9700股,22.31,-216407,-9700股,-,3880,281.33,全部成交,2020-05-07 11:28:00
2020-05-11,09:30:00,股票,华讯方舟(000687.XSHE),买,市价单,61700股,3.51,216567,61700股,-,0,64.97,全部成交,2020-05-11 09:30:00
2020-05-12,14:50:00,股票,华讯方舟(000687.XSHE),卖,市价单,-61700股,3.47,-214099,-61700股,-,-2468,278.33,全部成交,2020-05-12 14:50:00
2020-05-21,09:30:00,股票,长城动漫(000835.XSHE),买,市价单,76400股,2.8,213920,76400股,-,0,64.18,全部成交,2020-05-21 09:30:00
2020-05-22,11:28:00,股票,长城动漫(000835.XSHE),卖,市价单,-76400股,2.81,-214684,-76400股,-,764,279.09,全部成交,2020-05-22 11:28:00
2020-05-26,09:30:00,股票,众应互联(002464.XSHE),买,市价单,35700股,6.01,214557,35700股,-,0,64.37,全部成交,2020-05-26 09:30:00
2020-05-27,14:50:00,股票,众应互联(002464.XSHE),卖,市价单,-35700股,5.97,-213129,-35700股,-,-1428,277.07,全部成交,2020-05-27 14:50:00
2020-06-01,09:30:00,股票,长城动漫(000835.XSHE),买,市价单,73300股,2.9,212570,73300股,-,0,63.77,全部成交,2020-06-01 09:30:00
2020-06-02,11:28:00,股票,长城动漫(000835.XSHE),卖,市价单,-73300股,2.97,-217701,-73300股,-,5131,283.01,全部成交,2020-06-02 11:28:00
2020-06-11,09:30:00,股票,国创高新(002377.XSHE),买,市价单,54000股,4.02,217080,54000股,-,0,65.12,全部成交,2020-06-11 09:30:00
