symbol,buy_date,buy_time,buy_price,sell_time,sell_price,profit_pct,sell_reason
000007.SZ,2021-04-01,2021-04-01 09:31,3.75,2021-04-02 11:28,4.07,8.5333,T+1上午盈利卖出
000065.SZ,2023-06-19,2023-06-19 09:31,16.0,2023-06-20 11:28,16.21,1.3125,T+1上午盈利卖出
000078.SZ,2026-04-10,2026-04-10 09:31,3.73,2026-04-13 14:50,3.62,-2.9491,T+1尾盘清仓
000498.SZ,2021-10-18,2021-10-18 09:31,6.01,2021-10-19 11:28,6.49,7.9867,T+1上午盈利卖出
000520.SZ,2024-07-03,2024-07-03 09:31,2.52,2024-07-04 14:50,2.49,-1.1905,T+1尾盘清仓
000530.SZ,2022-10-31,2022-10-31 09:31,5.0,2022-11-01 11:28,5.31,6.2,T+1上午盈利卖出
000554.SZ,2024-01-24,2024-01-24 09:31,6.1,2024-01-25 14:50,6.28,2.9508,T+1尾盘清仓
000565.SZ,2024-02-22,2024-02-22 09:31,4.39,2024-02-23 11:28,4.41,0.4556,T+1上午盈利卖出
000600.SZ,2022-04-29,2022-04-29 09:31,3.92,2022-05-05 11:28,4.13,5.3571,T+1上午盈利卖出
000608.SZ,2024-05-07,2024-05-07 09:31,2.0,2024-05-08 14:50,1.89,-5.5,T+1尾盘清仓
000629.SZ,2022-09-23,2022-09-23 09:31,5.39,2022-09-26 14:50,5.07,-5.9369,T+1尾盘清仓
000710.SZ,2021-11-04,2021-11-04 09:31,20.0,2021-11-05 11:28,21.62,8.1,T+1上午盈利卖出
000711.SZ,2022-05-06,2022-05-06 09:31,2.66,2022-05-09 11:28,2.88,8.2707,T+1上午盈利卖出
000715.SZ,2022-05-19,2022-05-19 09:31,6.26,2022-05-20 14:50,6.13,-2.0767,T+1尾盘清仓
000793.SZ,2024-06-05,2024-06-05 09:31,0.83,2024-06-06 11:28,0.98,18.0723,T+1上午盈利卖出
000797.SZ,2023-06-05,2023-06-05 09:31,3.05,2023-06-06 11:28,3.23,5.9016,T+1上午盈利卖出
000797.SZ,2025-03-06,2025-03-06 09:31,2.88,2025-03-07 11:28,2.99,3.8194,T+1上午盈利卖出
000798.SZ,2026-02-24,2026-02-24 09:31,12.18,2026-02-25 11:28,12.36,1.4778,T+1上午盈利卖出
000809.SZ,2022-04-13,2022-04-13 09:31,3.38,2022-04-14 14:50,3.43,1.4793,T+1尾盘清仓
000812.SZ,2022-10-28,2022-10-28 09:31,6.02,2022-10-31 14:50,5.71,-5.1495,T+1尾盘清仓
000830.SZ,2026-04-08,2026-04-08 09:31,16.33,2026-04-09 11:28,16.92,3.613,T+1上午盈利卖出
000868.SZ,2022-08-17,2022-08-17 09:31,6.08,2022-08-18 11:28,6.17,1.4803,T+1上午盈利卖出
000936.SZ,2023-09-27,2023-09-27 09:31,9.45,2023-09-28 11:28,9.6,1.5873,T+1上午盈利卖出
001231.SZ,2024-08-05,2024-08-05 09:31,14.62,2024-08-06 14:50,14.12,-3.42,T+1尾盘清仓
001236.SZ,2025-01-16,2025-01-16 09:31,9.8,2025-01-17 11:28,10.19,3.9796,T+1上午盈利卖出
001308.SZ,2023-06-06,2023-06-06 09:31,29.93,2023-06-07 14:50,29.72,-0.7016,T+1尾盘清仓
001309.SZ,2023-08-25,2023-08-25 09:31,70.1,2023-08-28 14:50,66.32,-5.3923,T+1尾盘清仓
001896.SZ,2022-10-27,2022-10-27 09:31,5.6,2022-10-28 14:50,5.2,-7.1429,T+1尾盘清仓
002041.SZ,2020-09-11,2020-09-11 09:31,17.81,2020-09-14 11:28,19.17,7.6362,T+1上午盈利卖出
002060.SZ,2022-04-28,2022-04-28 09:31,6.8,2022-04-29 11:28,7.21,6.0294,T+1上午盈利卖出
002084.SZ,2022-12-14,2022-12-14 09:31,5.06,2022-12-15 14:50,5.02,-0.7905,T+1尾盘清仓
002094.SZ,2024-02-26,2024-02-26 09:31,2.8,2024-02-27 11:28,2.87,2.5,T+1上午盈利卖出
002096.SZ,2022-05-06,2022-05-06 09:31,10.7,2022-05-09 11:28,11.18,4.486,T+1上午盈利卖出
002105.SZ,2021-01-15,2021-01-15 09:31,7.87,2021-01-18 14:50,7.68,-2.4142,T+1尾盘清仓
002155.SZ,2026-04-09,2026-04-09 09:31,30.85,2026-04-10 14:50,30.41,-1.4263,T+1尾盘清仓
002160.SZ,2020-12-16,2020-12-16 09:31,4.05,2020-12-17 11:28,4.26,5.1852,T+1上午盈利卖出
002162.SZ,2022-09-13,2022-09-13 09:31,4.49,2022-09-14 14:50,4.5,0.2227,T+1尾盘清仓
002165.SZ,2022-10-10,2022-10-10 09:31,5.08,2022-10-11 11:28,5.44,7.0866,T+1上午盈利卖出
002173.SZ,2024-06-24,2024-06-24 09:31,6.78,2024-06-25 14:50,6.87,1.3274,T+1尾盘清仓
002188.SZ,2024-06-28,2024-06-28 09:31,4.29,2024-07-01 11:28,4.56,6.2937,T+1上午盈利卖出
002188.SZ,2024-12-30,2024-12-30 09:31,4.72,2024-12-31 14:50,4.56,-3.3898,T+1尾盘清仓
002194.SZ,2024-02-21,2024-02-21 09:31,8.17,2024-02-22 11:28,8.53,4.4064,T+1上午盈利卖出
002205.SZ,2020-08-20,2020-08-20 09:31,10.83,2020-08-21 14:50,10.56,-2.4931,T+1尾盘清仓
002206.SZ,2022-05-06,2022-05-06 09:31,5.02,2022-05-09 11:28,5.11,1.7928,T+1上午盈利卖出
002227.SZ,2026-03-09,2026-03-09 09:31,10.44,2026-03-10 14:50,10.32,-1.1494,T+1尾盘清仓
002237.SZ,2021-01-27,2021-01-27 09:31,12.18,2021-01-28 11:28,12.62,3.6125,T+1上午盈利卖出
002246.SZ,2024-08-13,2024-08-13 09:31,8.26,2024-08-14 11:28,8.86,7.2639,T+1上午盈利卖出
002253.SZ,2025-03-10,2025-03-10 09:31,13.17,2025-03-11 14:50,13.02,-1.139,T+1尾盘清仓
002256.SZ,2022-09-21,2022-09-21 09:31,3.0,2022-09-22 14:50,2.89,-3.6667,T+1尾盘清仓
002263.SZ,2024-06-14,2024-06-14 09:31,2.22,2024-06-17 14:50,2.16,-2.7027,T+1尾盘清仓
002269.SZ,2022-05-19,2022-05-19 09:31,1.89,2022-05-20 11:28,1.97,4.2328,T+1上午盈利卖出
002274.SZ,2026-04-08,2026-04-08 09:31,6.26,2026-04-09 11:28,6.37,1.7572,T+1上午盈利卖出
002278.SZ,2025-06-24,2025-06-24 09:31,8.57,2025-06-25 11:28,8.82,2.9172,T+1上午盈利卖出
002285.SZ,2024-08-09,2024-08-09 09:31,1.9,2024-08-12 11:28,2.34,23.1579,T+1上午盈利卖出
002301.SZ,2022-03-15,2022-03-15 09:31,7.04,2022-03-16 14:50,6.84,-2.8409,T+1尾盘清仓
002305.SZ,2023-09-22,2023-09-22 09:31,2.37,2023-09-25 14:50,2.3,-2.9536,T+1尾盘清仓
002331.SZ,2026-04-21,2026-04-21 09:31,8.73,2026-04-22 14:50,8.66,-0.8018,T+1尾盘清仓
002361.SZ,2026-03-27,2026-03-27 09:31,12.09,2026-03-30 11:28,15.0,24.0695,T+1上午盈利卖出
002377.SZ,2022-09-21,2022-09-21 09:31,3.11,2022-09-22 11:28,3.28,5.4662,T+1上午盈利卖出
002455.SZ,2021-10-15,2021-10-15 09:31,15.62,2021-10-18 14:50,15.64,0.128,T+1尾盘清仓
002460.SZ,2021-04-20,2021-04-20 09:31,101.0,2021-04-21 14:50,98.95,-2.0297,T+1尾盘清仓
002467.SZ,2020-12-30,2020-12-30 09:31,5.77,2020-12-31 11:28,5.86,1.5598,T+1上午盈利卖出
002512.SZ,2022-03-17,2022-03-17 09:31,3.31,2022-03-18 11:28,3.5,5.7402,T+1上午盈利卖出
002514.SZ,2022-09-26,2022-09-26 09:31,12.56,2022-09-27 11:28,14.07,12.0223,T+1上午盈利卖出
002516.SZ,2021-02-08,2021-02-08 09:31,3.0,2021-02-09 14:50,3.0,0.0,T+1尾盘清仓
002518.SZ,2022-05-19,2022-05-19 09:31,18.0,2022-05-20 11:28,21.01,16.7222,T+1上午盈利卖出
002538.SZ,2021-10-20,2021-10-20 09:31,10.81,2021-10-21 11:28,12.27,13.506,T+1上午盈利卖出
