symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,sell_reason
000007.SZ,2021-04-01,3.75,2021-04-02,3.92,4.5333,T+1开盘卖出(盈利)
000065.SZ,2023-06-19,16.0,2023-06-20,16.35,2.1875,T+1开盘卖出(盈利)
000078.SZ,2026-04-10,3.71,2026-04-13,3.62,-2.4259,T+1收盘卖出
000498.SZ,2021-10-18,6.01,2021-10-19,6.28,4.4925,T+1开盘卖出(盈利)
000520.SZ,2024-07-03,2.52,2024-07-04,2.54,0.7937,T+1开盘卖出(盈利)
000530.SZ,2022-10-31,5.0,2022-11-01,5.11,2.2,T+1开盘卖出(盈利)
000554.SZ,2024-01-24,6.1,2024-01-25,6.29,3.1148,T+1收盘卖出
000565.SZ,2024-02-22,4.39,2024-02-23,4.47,1.8223,T+1开盘卖出(盈利)
000600.SZ,2022-04-29,3.92,2022-05-05,4.06,3.5714,T+1开盘卖出(盈利)
000608.SZ,2024-05-07,2.0,2024-05-08,1.89,-5.5,T+1收盘卖出
000629.SZ,2022-09-23,5.39,2022-09-26,5.05,-6.308,T+1收盘卖出
000710.SZ,2021-11-04,20.0,2021-11-05,20.1,0.5,T+1开盘卖出(盈利)
000711.SZ,2022-05-06,2.66,2022-05-09,2.88,8.2707,T+1收盘卖出
000715.SZ,2022-05-19,6.26,2022-05-20,6.28,0.3195,T+1开盘卖出(盈利)
000793.SZ,2024-06-05,0.83,2024-06-06,0.98,18.0723,T+1开盘卖出(盈利)
000797.SZ,2023-06-05,3.05,2023-06-06,3.13,2.623,T+1开盘卖出(盈利)
000797.SZ,2025-03-06,2.88,2025-03-07,2.91,1.0417,T+1开盘卖出(盈利)
000798.SZ,2026-02-24,12.08,2026-02-25,12.27,1.5728,T+1开盘卖出(盈利)
000809.SZ,2022-04-13,3.38,2022-04-14,3.44,1.7751,T+1开盘卖出(盈利)
000812.SZ,2022-10-28,6.02,2022-10-31,5.75,-4.485,T+1收盘卖出
000830.SZ,2026-04-08,16.23,2026-04-09,16.65,2.5878,T+1开盘卖出(盈利)
000868.SZ,2022-08-17,6.08,2022-08-18,6.36,4.6053,T+1开盘卖出(盈利)
000936.SZ,2023-09-27,9.45,2023-09-28,9.63,1.9048,T+1开盘卖出(盈利)
001231.SZ,2024-08-05,14.62,2024-08-06,14.16,-3.1464,T+1收盘卖出
001236.SZ,2025-01-16,9.8,2025-01-17,10.11,3.1633,T+1开盘卖出(盈利)
