日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-04-29,10:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,100.841,90756.9,900股,-,0,0,全部成交,2020-04-29 10:00:00
2020-05-07,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.859,-90773.1,-900股,-,16.2,0,全部成交,2020-05-07 10:00:00
2020-05-07,10:00:00,股票,三变科技(002112.XSHE),买,市价单,4900股,6.77,33173,4900股,-,0,8.29,全部成交,2020-05-07 10:00:00
2020-05-07,10:00:00,股票,通达动力(002576.XSHE),买,市价单,3700股,8.82,32634,3700股,-,0,8.16,全部成交,2020-05-07 10:00:00
2020-05-07,10:00:00,股票,联诚精密(002921.XSHE),买,市价单,1800股,18.49,33282,1800股,-,0,8.32,全部成交,2020-05-07 10:00:00
2020-05-12,10:00:00,股票,英派斯(002899.XSHE),买,市价单,100股,12.65,1265,100股,-,0,5,全部成交,2020-05-12 10:00:00
2020-06-02,10:00:00,股票,英派斯(002899.XSHE),卖,市价单,-100股,13.38,-1338,-100股,-,73,6.34,全部成交,2020-06-02 10:00:00
2020-06-09,10:00:00,股票,英派斯(002899.XSHE),买,市价单,100股,13.26,1326,100股,-,0,5,全部成交,2020-06-09 10:00:00
2020-06-15,14:00:00,股票,通达动力(002576.XSHE),卖,市价单,-3700股,11.33,-41921,-3700股,-,9287,52.4,全部成交,2020-06-15 14:00:00
2020-06-16,10:00:00,股票,宏达高科(002144.XSHE),买,市价单,4500股,9.19,41355,4500股,-,0,10.34,全部成交,2020-06-16 10:00:00
2020-06-17,14:00:00,股票,三变科技(002112.XSHE),卖,市价单,-4900股,7.39,-36211,-4900股,-,3038,45.26,全部成交,2020-06-17 14:00:00
2020-06-23,10:00:00,股票,联诚精密(002921.XSHE),卖,市价单,-1800股,20.6,-37080,-1800股,-,4338,46.35,全部成交,2020-06-23 10:00:00
2020-06-23,10:00:00,股票,三变科技(002112.XSHE),买,市价单,9800股,7.5,73500,9800股,-,0,18.38,全部成交,2020-06-23 10:00:00
2020-07-14,14:00:00,股票,三变科技(002112.XSHE),卖,市价单,-9800股,10.28,-100744,-9800股,-,27244,125.93,全部成交,2020-07-14 14:00:00
2020-07-21,10:00:00,股票,联诚精密(002921.XSHE),买,市价单,2300股,21.7,49910,2300股,-,0,12.48,全部成交,2020-07-21 10:00:00
2020-07-21,10:00:00,股票,如意集团(002193.XSHE),买,市价单,7100股,7.07,50197,7100股,-,0,12.55,全部成交,2020-07-21 10:00:00
2020-07-28,10:00:00,股票,三变科技(002112.XSHE),买,市价单,100股,8.97,897,100股,-,0,5,全部成交,2020-07-28 10:00:00
2020-07-30,14:00:00,股票,三变科技(002112.XSHE),卖,市价单,-100股,9.64,-964,-100股,-,67,5.96,全部成交,2020-07-30 14:00:00
2020-07-31,14:00:00,股票,英派斯(002899.XSHE),卖,市价单,-100股,15.86,-1586,-100股,-,260,6.59,全部成交,2020-07-31 14:00:00
2020-08-04,10:00:00,股票,如意集团(002193.XSHE),卖,市价单,-7100股,7.43,-52753,-7100股,-,2556,65.94,全部成交,2020-08-04 10:00:00
2020-08-04,10:00:00,股票,英派斯(002899.XSHE),买,市价单,3400股,15.92,54128,3400股,-,0,13.53,全部成交,2020-08-04 10:00:00
2020-08-11,10:00:00,股票,英派斯(002899.XSHE),卖,市价单,-3400股,15.25,-51850,-3400股,-,-2278,64.81,全部成交,2020-08-11 10:00:00
2020-08-11,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,1100股,23.48,25828,1100股,-,0,6.46,全部成交,2020-08-11 10:00:00
2020-08-11,10:00:00,股票,三变科技(002112.XSHE),买,市价单,2900股,9.09,26361,2900股,-,0,6.59,全部成交,2020-08-11 10:00:00
2020-08-18,10:00:00,股票,宏达高科(002144.XSHE),卖,市价单,-4500股,11.07,-49815,-4500股,-,8910,62.27,全部成交,2020-08-18 10:00:00
2020-08-18,10:00:00,股票,英派斯(002899.XSHE),买,市价单,3100股,16.17,50127,3100股,-,0,12.53,全部成交,2020-08-18 10:00:00
2020-08-19,14:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-1100股,26.15,-28765,-1100股,-,2937,35.96,全部成交,2020-08-19 14:00:00
2020-08-25,10:00:00,股票,联诚精密(002921.XSHE),卖,市价单,-2300股,24,-55200,-2300股,-,5290,69,全部成交,2020-08-25 10:00:00
2020-08-25,10:00:00,股票,英派斯(002899.XSHE),卖,市价单,-3100股,16.17,-50127,-3100股,-,0,62.66,全部成交,2020-08-25 10:00:00
2020-08-25,10:00:00,股票,顾地科技(002694.XSHE),买,市价单,14300股,3.12,44616,14300股,-,0,11.15,全部成交,2020-08-25 10:00:00
2020-08-25,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,1700股,25.16,42772,1700股,-,0,10.69,全部成交,2020-08-25 10:00:00
2020-08-25,10:00:00,股票,宏达高科(002144.XSHE),买,市价单,4100股,10.87,44567,4100股,-,0,11.14,全部成交,2020-08-25 10:00:00
2020-09-01,10:00:00,股票,宏达高科(002144.XSHE),卖,市价单,-4100股,10.95,-44895,-4100股,-,328,56.12,全部成交,2020-09-01 10:00:00
2020-09-01,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,3300股,13.96,46068,3300股,-,0,11.52,全部成交,2020-09-01 10:00:00
2020-09-08,10:00:00,股票,顾地科技(002694.XSHE),卖,市价单,-14300股,3.32,-47476,-14300股,-,2860,59.34,全部成交,2020-09-08 10:00:00
2020-09-08,10:00:00,股票,英派斯(002899.XSHE),买,市价单,1600股,15.07,24112,1600股,-,0,6.03,全部成交,2020-09-08 10:00:00
