日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-04-28,09:45:00,股票,大秦铁路(601006.XSHG),买,市价单,29400股,6.8,199920,29400股,-,0,23.99,全部成交,2020-04-28 09:45:00
2020-04-28,09:45:00,股票,建发股份(600153.XSHG),买,市价单,24900股,8.02,199698,24900股,-,0,23.96,全部成交,2020-04-28 09:45:00
2020-04-28,09:45:00,股票,荣盛发展(002146.XSHE),买,市价单,25300股,7.91,200123,25300股,-,0,24.01,全部成交,2020-04-28 09:45:00
2020-04-28,09:45:00,股票,海油工程(600583.XSHG),买,市价单,42500股,4.71,200175,42500股,-,0,24.02,全部成交,2020-04-28 09:45:00
2020-04-28,09:45:00,股票,华侨城A(000069.XSHE),买,市价单,31600股,6.33,200028,31600股,-,0,24,全部成交,2020-04-28 09:45:00
2020-05-06,09:45:00,股票,大秦铁路(601006.XSHG),卖,市价单,-29400股,7.12,-209328,-29400股,-,9408,234.45,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,荣盛发展(002146.XSHE),卖,市价单,-25300股,7.98,-201894,-25300股,-,1771,226.12,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,海油工程(600583.XSHG),卖,市价单,-42500股,4.88,-207400,-42500股,-,7225,232.29,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,华侨城A(000069.XSHE),卖,市价单,-31600股,6.43,-203188,-31600股,-,3160,227.57,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,民生银行(600016.XSHG),买,市价单,35300股,5.82,205446,35300股,-,0,24.65,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,北京银行(601169.XSHG),买,市价单,41500股,4.95,205425,41500股,-,0,24.65,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,兴业银行(601166.XSHG),买,市价单,12500股,16.37,204625,12500股,-,0,24.56,全部成交,2020-05-06 09:45:00
2020-05-06,09:45:00,股票,建设银行(601939.XSHG),买,市价单,32300股,6.36,205428,32300股,-,0,24.65,全部成交,2020-05-06 09:45:00
2020-07-01,09:45:00,股票,建发股份(600153.XSHG),卖,市价单,-24900股,8.09,-201441,-24900股,-,14193,225.61,全部成交,2020-07-01 09:45:00
2020-07-01,09:45:00,股票,贵阳银行(601997.XSHG),买,市价单,29400股,7.17,210798,29400股,-,0,25.3,全部成交,2020-07-01 09:45:00
2020-08-03,09:45:00,股票,贵阳银行(601997.XSHG),卖,市价单,-29400股,7.69,-226086,-29400股,-,15288,253.22,全部成交,2020-08-03 09:45:00
2020-08-03,09:45:00,股票,交通银行(601328.XSHG),买,市价单,55000股,4.78,262900,55000股,-,0,31.55,全部成交,2020-08-03 09:45:00
2020-09-01,09:45:00,股票,民生银行(600016.XSHG),卖,市价单,-35300股,5.53,-195209,-35300股,-,2824,218.63,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,北京银行(601169.XSHG),卖,市价单,-41500股,4.85,-201275,-41500股,-,8507.5,225.43,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,兴业银行(601166.XSHG),卖,市价单,-12500股,16.24,-203000,-12500股,-,7900,227.36,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,建设银行(601939.XSHG),卖,市价单,-32300股,6.16,-198968,-32300股,-,3876,222.84,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,交通银行(601328.XSHG),卖,市价单,-55000股,4.72,-259600,-55000股,-,-3300,290.75,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,牧原股份(002714.XSHE),买,市价单,2300股,88.23,202929,2300股,-,0,24.35,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,三七互娱(002555.XSHE),买,市价单,4600股,45.69,210174,4600股,-,0,25.22,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,恒立液压(601100.XSHG),买,市价单,3100股,66.39,205809,3100股,-,0,24.7,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,海天味业(603288.XSHG),买,市价单,1100股,185.23,203753,1100股,-,0,24.45,全部成交,2020-09-01 09:45:00
2020-09-01,09:45:00,股票,三一重工(600031.XSHG),买,市价单,9400股,22.31,209714,9400股,-,0,25.17,全部成交,2020-09-01 09:45:00
2020-10-09,09:45:00,股票,牧原股份(002714.XSHE),卖,市价单,-2300股,72.24,-166152,-2300股,-,-36777,186.09,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,三七互娱(002555.XSHE),卖,市价单,-4600股,40.62,-186852,-4600股,-,-21942,209.27,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,恒立液压(601100.XSHG),卖,市价单,-3100股,72.13,-223603,-3100股,-,17794,250.44,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,海天味业(603288.XSHG),卖,市价单,-1100股,162.6,-178860,-1100股,-,-24893,200.32,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,三一重工(600031.XSHG),卖,市价单,-9400股,25.69,-241486,-9400股,-,31772,270.46,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,中国建筑(601668.XSHG),买,市价单,39700股,5.14,204058,39700股,-,0,24.49,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,上汽集团(600104.XSHG),买,市价单,10400股,19.59,203736,10400股,-,0,24.45,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,广汇汽车(600297.XSHG),买,市价单,61100股,3.34,204074,61100股,-,0,24.49,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,中国中铁(601390.XSHG),买,市价单,37300股,5.47,204031,37300股,-,0,24.48,全部成交,2020-10-09 09:45:00
2020-10-09,09:45:00,股票,五矿资本(600390.XSHG),买,市价单,28100股,7.25,203725,28100股,-,0,24.45,全部成交,2020-10-09 09:45:00
2020-11-02,09:45:00,股票,中国建筑(601668.XSHG),卖,市价单,-39700股,5.11,-202867,-39700股,-,-1191,227.21,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,上汽集团(600104.XSHG),卖,市价单,-10400股,23.97,-249288,-10400股,-,45552,279.2,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,广汇汽车(600297.XSHG),卖,市价单,-61100股,3.54,-216294,-61100股,-,12220,242.25,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,中国中铁(601390.XSHG),卖,市价单,-37300股,5.38,-200674,-37300股,-,-3357,224.75,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,中国神华(601088.XSHG),买,市价单,12900股,16.76,216204,12900股,-,0,25.94,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,宝钢股份(600019.XSHG),买,市价单,40200股,5.41,217482,40200股,-,0,26.1,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,中国化学(601117.XSHG),买,市价单,40500股,5.37,217485,40500股,-,0,26.1,全部成交,2020-11-02 09:45:00
2020-11-02,09:45:00,股票,国电电力(600795.XSHG),买,市价单,108600股,2,217200,108600股,-,0,26.06,全部成交,2020-11-02 09:45:00
2020-12-01,09:45:00,股票,五矿资本(600390.XSHG),卖,市价单,-28100股,7.22,-202882,-28100股,-,-843,227.23,全部成交,2020-12-01 09:45:00
2020-12-01,09:45:00,股票,中国神华(601088.XSHG),卖,市价单,-12900股,19.76,-254904,-12900股,-,38700,285.49,全部成交,2020-12-01 09:45:00
2020-12-01,09:45:00,股票,宝钢股份(600019.XSHG),卖,市价单,-40200股,6.22,-250044,-40200股,-,32562,280.05,全部成交,2020-12-01 09:45:00
